name,,count
United States of America,33929,162665650
United States of America,20159.5,162665650
United States of America,19552.5,162665650
United States of America,68852.5,162665650
United States of America,45077.5,162665650
United States of America,61360,162665650
United States of America,17445.5,162665650
United States of America,28887,162665650
United States of America,79923,162665650
United States of America,40863.5,162665650
United States of America,23366,162665650
United States of America,81059,162665650
United States of America,24192.5,162665650
United States of America,32078.5,162665650
United States of America,362946.5,162665650
United States of America,38165.5,162665650
United States of America,204371.5,162665650
United States of America,212243,162665650
United States of America,102055.5,162665650
United States of America,244050,162665650
United States of America,41015.5,162665650
United States of America,65149.5,162665650
United States of America,98104,162665650
United States of America,34249,162665650
United States of America,171791,162665650
United States of America,78381.5,162665650
United States of America,100295,162665650
United States of America,31630,162665650
United States of America,7844,162665650
United States of America,20858.5,162665650
United States of America,57179,162665650
United States of America,33907,162665650
United States of America,257114.5,162665650
United States of America,27049.5,162665650
United States of America,32514,162665650
United States of America,64039,162665650
United States of America,33147.5,162665650
United States of America,74450.5,162665650
United States of America,42356,162665650
United States of America,68070.5,162665650
United States of America,50709.5,162665650
United States of America,74866,162665650
United States of America,164843.5,162665650
United States of America,53845.5,162665650
United States of America,42131.5,162665650
United States of America,76158.5,162665650
United States of America,256601.5,162665650
United States of America,51148,162665650
United States of America,159012,162665650
United States of America,69599.5,162665650
United States of America,71296,162665650
United States of America,10796.5,162665650
United States of America,65476.5,162665650
United States of America,136888.5,162665650
United States of America,46749.5,162665650
United States of America,2154,162665650
United States of America,22502.5,162665650
United States of America,54662.5,162665650
United States of America,52792,162665650
United States of America,58776,162665650
United States of America,58487.5,162665650
United States of America,151205,162665650
United States of America,41891,162665650
United States of America,100670.5,162665650
United States of America,24233.5,162665650
United States of America,64814.5,162665650
United States of America,62784.5,162665650
United States of America,43791.5,162665650
United States of America,209489,162665650
United States of America,300980.5,162665650
United States of America,20529,162665650
United States of America,1781.5,162665650
United States of America,6051.5,162665650
United States of America,34637.5,162665650
United States of America,62454,162665650
United States of America,51558.5,162665650
United States of America,14524,162665650
United States of America,12011,162665650
United States of America,6400,162665650
United States of America,667,162665650
United States of America,382,162665650
